study,domain,sub_domain,source,table_label,table_name,table_name_nda,var_name_nda,type,metric,atlas,var_name,var_label,notes,condition,id
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.front.inf.opercular.rh,Float,Emotional N-Back,Destrieux,tfabwdp_678,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere opercular part of the inferior frontal gyrus,,,60006
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.front.inf.orbital.lh,Float,Emotional N-Back,Destrieux,tfabwdp_605,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere orbital part of the inferior frontal gyrus,,,60007
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.front.inf.orbital.rh,Float,Emotional N-Back,Destrieux,tfabwdp_679,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere orbital part of the inferior frontal gyrus,,,60008
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.front.inf.triangul.lh,Float,Emotional N-Back,Destrieux,tfabwdp_606,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere triangular part of the inferior frontal gyrus,,,60009
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.front.inf.triangul.rh,Float,Emotional N-Back,Destrieux,tfabwdp_680,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere triangular part of the inferior frontal gyrus,,,60010
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.front.middle.lh,Float,Emotional N-Back,Destrieux,tfabwdp_607,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere middle frontal gyrus,,,60011
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.front.middle.rh,Float,Emotional N-Back,Destrieux,tfabwdp_681,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere middle frontal gyrus,,,60012
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.front.sup.lh,Float,Emotional N-Back,Destrieux,tfabwdp_608,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere superior frontal gyrus,,,60013
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.front.sup.rh,Float,Emotional N-Back,Destrieux,tfabwdp_682,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere superior frontal gyrus,,,60014
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.ins.lg.and.s.cent.ins.lh,Float,Emotional N-Back,Destrieux,tfabwdp_609,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere long insular gyrus and central sulcus of the insula,,,60015
