study,domain,sub_domain,source,table_label,table_name,table_name_nda,var_name_nda,type,metric,atlas,var_name,var_label,notes,condition,id
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_lateralorbitofrontal.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_587,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-lateralorbitofrontal,,,59940
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_lingual.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_554,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-lingual,,,59941
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_lingual.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_588,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-lingual,,,59942
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_medialorbitofrontal.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_555,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-medialorbitofrontal,,,59943
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_medialorbitofrontal.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_589,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-medialorbitofrontal,,,59944
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_middletemporal.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_556,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-middletemporal,,,59945
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_middletemporal.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_590,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-middletemporal,,,59946
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_paracentral.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_558,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-paracentral,,,59947
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_paracentral.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_592,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-paracentral,,,59948
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_parahippocampal.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_557,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-parahippocampal,,,59949
