ROI_Label,t,p,p_fdr,Cohens_d
RH_DorsAttn_PrCv_1,-1.644467402,0.100632995,0.176988769,-0.13775832
RH_SalVentAttn_TempOccPar_1,3.145489402,0.001750375,0.006169195,0.263500106
RH_SalVentAttn_TempOccPar_2,0.211663714,0.832448487,0.89758147,0.017731235
RH_SalVentAttn_TempOccPar_3,-2.089797489,0.037098479,0.076568551,-0.175063969
RH_SalVentAttn_TempOccPar_4,0.592587189,0.553693616,0.672767512,0.049641492
RH_SalVentAttn_TempOccPar_5,-2.701384975,0.007111475,0.019247823,-0.226297131
RH_SalVentAttn_TempOccPar_6,-0.149397714,0.881293859,0.922094501,-0.012515163
RH_SalVentAttn_TempOccPar_7,-2.261723135,0.024093391,0.05556231,-0.189466315
RH_SalVentAttn_PrC_1,2.755907321,0.006041985,0.017165307,0.23086451
RH_SalVentAttn_FrOper_1,2.598597993,0.009604796,0.025537456,0.217686585
RH_SalVentAttn_FrOper_2,-0.069896263,0.944300854,0.965119326,-0.005855265
RH_SalVentAttn_FrOper_3,-0.260513532,0.794562452,0.869593773,-0.021823422
RH_SalVentAttn_FrOper_4,-2.172516393,0.030229636,0.066329105,-0.181993396
RH_SalVentAttn_FrOper_5,-1.896239333,0.058436607,0.110516093,-0.158849451
RH_SalVentAttn_FrOper_6,1.074636434,0.283006187,0.407384702,0.090023134
RH_SalVentAttn_FrOper_7,-4.847030565,1.63E-06,3.20E-05,-0.406039539
RH_SalVentAttn_FrOper_8,5.974756365,4.09E-09,2.64E-07,0.500510011
RH_SalVentAttn_PFCl_1,1.681229171,0.093281031,0.167313596,0.140837882
RH_SalVentAttn_Med_1,-1.102326238,0.27079467,0.398302355,-0.092342731
RH_SalVentAttn_Med_2,-2.87458992,0.004197705,0.012995636,-0.240806645
RH_SalVentAttn_Med_3,-2.326320482,0.020363886,0.048959981,-0.194877685
RH_SalVentAttn_Med_4,2.396446588,0.016880931,0.042155696,0.200752204
RH_SalVentAttn_Med_5,-0.535736289,0.592353277,0.708316617,-0.044879048
RH_SalVentAttn_Med_6,-2.860153028,0.004391515,0.013315277,-0.239597255
RH_SalVentAttn_Med_7,-0.281201662,0.778658136,0.862631073,-0.023556483
RH_SalVentAttn_Med_8,-0.571202405,0.568088728,0.682915174,-0.047850072
RH_Limbic_OFC_1,-1.033495106,0.301821341,0.43004298,-0.086576693
RH_Limbic_OFC_2,4.457499381,1.00E-05,0.000122214,0.373408207
RH_Limbic_OFC_3,0.896213381,0.370519956,0.498437559,0.075076495
RH_Limbic_OFC_4,-3.36125119,0.000828224,0.003312897,-0.28157464
RH_Limbic_OFC_5,3.966130865,8.31E-05,0.000521981,0.332245883
RH_Limbic_OFC_6,0.523775857,0.600638857,0.712568933,0.043877113
RH_Limbic_TempPole_1,1.397200537,0.162900112,0.259263558,0.117044581
RH_Limbic_TempPole_2,1.071166457,0.284550611,0.408307543,0.089732451
RH_Limbic_TempPole_3,2.25106311,0.024764191,0.056248314,0.188573316
RH_Limbic_TempPole_4,1.910832063,0.056529602,0.108268559,0.160071896
RH_Limbic_TempPole_5,3.143164381,0.001760677,0.006169195,0.263305337
RH_Limbic_TempPole_6,3.971746694,8.06E-05,0.000512801,0.332716325
RH_Limbic_TempPole_7,1.07535837,0.282685855,0.407384702,0.090083611
RH_Cont_Par_1,-2.366712696,0.018282053,0.044667504,-0.198261373
RH_Cont_Par_2,-4.316246009,1.87E-05,0.00018403,-0.361575302
RH_Cont_Par_3,-2.751715366,0.006119517,0.017180258,-0.230513347
RH_Cont_Par_4,-2.051640423,0.040662625,0.081686695,-0.171867522
RH_Cont_Par_5,-2.922530852,0.003610233,0.01157323,-0.244822694
RH_Cont_Par_6,-1.439544642,0.150549654,0.244778574,-0.12059178
RH_Cont_Temp_1,-3.943007749,9.06E-05,0.000546156,-0.330308841
RH_Cont_Temp_2,-2.475102075,0.013610995,0.03456275,-0.207341235
RH_Cont_PFCv_1,0.354331986,0.723224794,0.817244017,0.029682667
RH_Cont_PFCl_1,-2.288041935,0.022501736,0.052426726,-0.191671061
RH_Cont_PFCl_2,-4.241942825,2.59E-05,0.00022972,-0.355350866
RH_Cont_PFCl_3,-0.996278171,0.319539674,0.449943716,-0.083459001
RH_Cont_PFCl_4,0.756298676,0.449783851,0.569474231,0.063355731
RH_Cont_PFCl_5,1.087088221,0.277458994,0.405183619,0.09106623
RH_Cont_PFCl_6,2.027804365,0.043065896,0.085752356,0.169870757
RH_Cont_PFCl_7,-0.89161383,0.372977564,0.500254774,-0.074691187
RH_Cont_PFCl_8,-1.074917408,0.282868481,0.407384702,-0.090046671
RH_Cont_PFCl_9,2.066581033,0.039230505,0.079516539,0.173119108
RH_Cont_PFCl_10,-3.799952904,0.000160509,0.00086369,-0.318325025
RH_Cont_PFCl_11,4.140741339,4.00E-05,0.000320446,0.346873139
RH_Cont_PFCl_12,4.471827964,9.37E-06,0.000117642,0.374608524
RH_Cont_PFCl_13,2.744419821,0.006253895,0.01744914,0.229902194
RH_Cont_PFCl_14,4.293757998,2.07E-05,0.000194628,0.359691464
RH_Cont_PFCl_15,1.11598053,0.264902369,0.397400769,0.093486561
RH_Cont_pCun_1,-3.522303028,0.000462552,0.00204974,-0.295066078
RH_Cont_pCun_2,-4.133614244,4.11E-05,0.000320446,-0.346276096
RH_Cont_Cing_1,-5.234293827,2.40E-07,6.79E-06,-0.438480885
RH_Cont_Cing_2,-2.256376076,0.024436322,0.056067093,-0.189018388
