sub_id,mat_path,schaefer400,schaefer200,mean_fd
sub-NDARINV5WLH822H_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV5WLH822H_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-348.811659964892,-181.71980012387,0.2809848865
sub-NDARINV6JF8WUYT_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV6JF8WUYT_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-335.051642008053,-176.218018616216,0.3341476081
sub-NDARINV6NYCB4Y6_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV6NYCB4Y6_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-329.61695073774,-172.797443591826,0.3071979714
sub-NDARINV72MPGEWD_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV72MPGEWD_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-336.1324947125,-176.369821411178,0.4823849984
sub-NDARINV792K6B34_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV792K6B34_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-324.553599505261,-170.002689662072,0.3321836039
sub-NDARINV7AYZ3UUP_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV7AYZ3UUP_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-345.556091738608,-180.952235456616,0.4116700938
sub-NDARINV7DY4B12E_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV7DY4B12E_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-359.516390468787,-186.717896327801,0.507118339
sub-NDARINV7F555HX9_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV7F555HX9_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-345.744055637061,-181.179902830491,0.2464253859
sub-NDARINV7JT2AK44_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV7JT2AK44_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-334.14563079489,-172.152559302404,0.634330795
sub-NDARINV7L07LVXR_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV7L07LVXR_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-329.682961884982,-172.670592212955,0.6927730862
sub-NDARINV7NJLRBPW_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV7NJLRBPW_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-346.953212211218,-177.404713088685,0.7930002722
sub-NDARINV7P9PRTBA_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV7P9PRTBA_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-343.825676717956,-183.887854354969,0.3061387551
