sub_id,mat_path,schaefer400,schaefer200,mean_fd
sub-NDARINV2FV7FT02_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV2FV7FT02_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-338.83457178177,-177.812144543996,0.3221022826
sub-NDARINV2GD9NCMC_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV2GD9NCMC_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-355.726034600901,-186.763963328658,0.9121105806
sub-NDARINV2HXAJVXU_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV2HXAJVXU_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-353.36495352494,-182.645294169302,0.8844006669
sub-NDARINV2JRRX50R_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV2JRRX50R_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-346.55953424152,-180.74471790234,0.3695416216
sub-NDARINV2U88LX3T_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV2U88LX3T_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-369.010927798046,-192.532480280211,0.5803795454
sub-NDARINV2VALHM81_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV2VALHM81_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-349.385157010575,-188.257730463735,0.8666105659
sub-NDARINV2W4HNGV7_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV2W4HNGV7_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-347.934809399889,-178.615138154239,0.6545029596
sub-NDARINV2Y5DW30Z_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV2Y5DW30Z_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-333.965485585434,-175.216063253264,0.7852838268
sub-NDARINV2YH5GYE4_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV2YH5GYE4_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-348.415036017875,-184.950096189031,0.3824650336
sub-NDARINV3041N6ZR_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV3041N6ZR_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-329.491720557196,-177.030899044167,0.4002751752
